"","var1","var2","cor","p","case","participant_id"
"303","pm25_indoor","pm1_outdoor",0.25,1.75e-96,"sham","41181"
"304","pm25_outdoor","pm1_outdoor",1,0,"sham","41181"
"305","pm10_indoor","pm1_outdoor",0.12,1.93e-22,"sham","41181"
"306","pm10_outdoor","pm1_outdoor",0.26,1.24e-105,"sham","41181"
"307","pm1num_indoor","pm1_outdoor",0.34,1.18e-186,"sham","41181"
"308","pm1num_outdoor","pm1_outdoor",0.64,0,"sham","41181"
"309","pm1_ratio","pm1_outdoor",-0.21,7.28e-66,"sham","41181"
"310","pm25_ratio","pm1_outdoor",-0.21,1.62e-65,"sham","41181"
"311","pm10_ratio","pm1_outdoor",-0.073,1.55e-09,"sham","41181"
"312","pm1num_ratio","pm1_outdoor",-0.02,0.102,"sham","41181"
"313","pm1_indoor","pm25_indoor",0.91,0,"sham","41181"
"314","pm1_outdoor","pm25_indoor",0.25,1.75e-96,"sham","41181"
"315","pm25_indoor","pm25_indoor",1,0,"sham","41181"
"316","pm25_outdoor","pm25_indoor",0.24,2.41e-87,"sham","41181"
"317","pm10_indoor","pm25_indoor",0.37,2.28e-225,"sham","41181"
"318","pm10_outdoor","pm25_indoor",0.024,0.0506,"sham","41181"
"319","pm1num_indoor","pm25_indoor",0.89,0,"sham","41181"
"320","pm1num_outdoor","pm25_indoor",0.092,4.1e-14,"sham","41181"
"321","pm1_ratio","pm25_indoor",0.45,0,"sham","41181"
"322","pm25_ratio","pm25_indoor",0.49,0,"sham","41181"
"323","pm10_ratio","pm25_indoor",0.11,8.69e-21,"sham","41181"
"324","pm1num_ratio","pm25_indoor",0.63,0,"sham","41181"
"325","pm1_indoor","pm25_outdoor",0.18,2.34e-52,"sham","41181"
"326","pm1_outdoor","pm25_outdoor",1,0,"sham","41181"
"327","pm25_indoor","pm25_outdoor",0.24,2.41e-87,"sham","41181"
"328","pm25_outdoor","pm25_outdoor",1,0,"sham","41181"
"329","pm10_indoor","pm25_outdoor",0.12,2.78e-23,"sham","41181"
"330","pm10_outdoor","pm25_outdoor",0.27,5.1e-112,"sham","41181"
"331","pm1num_indoor","pm25_outdoor",0.33,1.93e-172,"sham","41181"
"332","pm1num_outdoor","pm25_outdoor",0.62,0,"sham","41181"
"333","pm1_ratio","pm25_outdoor",-0.22,1.86e-72,"sham","41181"
"334","pm25_ratio","pm25_outdoor",-0.22,2.04e-74,"sham","41181"
"335","pm10_ratio","pm25_outdoor",-0.08,4.74e-11,"sham","41181"
"336","pm1num_ratio","pm25_outdoor",-0.016,0.189,"sham","41181"
"337","pm1_indoor","pm10_indoor",0.18,5.79e-53,"sham","41181"
"338","pm1_outdoor","pm10_indoor",0.12,1.93e-22,"sham","41181"
"339","pm25_indoor","pm10_indoor",0.37,2.28e-225,"sham","41181"
"340","pm25_outdoor","pm10_indoor",0.12,2.78e-23,"sham","41181"
"341","pm10_indoor","pm10_indoor",1,0,"sham","41181"
"342","pm10_outdoor","pm10_indoor",-0.015,0.203,"sham","41181"
"343","pm1num_indoor","pm10_indoor",0.34,8.5e-179,"sham","41181"
"344","pm1num_outdoor","pm10_indoor",-0.0047,0.697,"sham","41181"
"345","pm1_ratio","pm10_indoor",0.057,2.85e-06,"sham","41181"
"346","pm25_ratio","pm10_indoor",0.12,2.26e-23,"sham","41181"
"347","pm10_ratio","pm10_indoor",0.73,0,"sham","41181"
"348","pm1num_ratio","pm10_indoor",0.33,1.61e-169,"sham","41181"
"349","pm1_indoor","pm10_outdoor",0.0035,0.775,"sham","41181"
"350","pm1_outdoor","pm10_outdoor",0.26,1.24e-105,"sham","41181"
"351","pm25_indoor","pm10_outdoor",0.024,0.0506,"sham","41181"
"352","pm25_outdoor","pm10_outdoor",0.27,5.1e-112,"sham","41181"
"353","pm10_indoor","pm10_outdoor",-0.015,0.203,"sham","41181"
"354","pm10_outdoor","pm10_outdoor",1,0,"sham","41181"
"355","pm1num_indoor","pm10_outdoor",0.047,0.000114,"sham","41181"
"356","pm1num_outdoor","pm10_outdoor",0.16,1.57e-42,"sham","41181"
"357","pm1_ratio","pm10_outdoor",-0.028,0.0197,"sham","41181"
