"","deployment","room","participant_id","environment","peak_idx","valley_idx_b","valley_idx_a","peak_hgt","k_val","conv_tol","cumm_pm","hepa","peak_width"
"170","RH","classroom","principal_s1","indoor",2069,1981,2157,1.22990413378826,-0.00326749940212677,1.76386945831431e-07,96.8834653671187,TRUE,176
"171","RH","classroom","principal_s1","indoor",2376,1626,2502,6.9281,-0.00186296945060639,7.54918621396767e-07,662.3615,FALSE,876
"172","RH","classroom","principal_s1","indoor",3037,2157,3653,3.17231554948638,-0.00102820665383015,1.06349776698193e-06,1409.26660950655,TRUE,1496
"173","RH","classroom","principal_s1","indoor",3785,3653,4005,1.61875118329044,-0.00276266282850167,1.48860658704127e-07,259.839786370063,TRUE,352
"174","RH","classroom","principal_s1","indoor",4093,4005,4137,1.11076892743077,-0.00166472820881361,7.18750312581834e-06,48.2184824005531,TRUE,132
"175","RH","classroom","principal_s1","indoor",4401,4137,4429,1.48670589610485,-0.00932172892787682,8.43298705362285e-07,38.1320450182946,TRUE,292
"176","RH","classroom","principal_s1","indoor",76,1,401,9.5625,-0.00210731217452262,4.09887950620665e-06,2095.5098,FALSE,400
"177","RH","classroom","principal_s1","indoor",177,1,353,10.9317413378242,-0.0341018202181989,8.22609188205955e-06,393.419200018648,TRUE,352
"178","RH","classroom","principal_s1","indoor",426,401,476,4.2591,-0.00243799379313825,1.50872445696305e-07,199.7038,FALSE,75
"179","RH","classroom","principal_s1","indoor",441,353,485,1.12846950051909,-0.00102643188319949,1.74249836796155e-06,49.6596972822068,TRUE,132
"180","RH","classroom","principal_s1","indoor",526,476,651,6.2086,-0.00461727780149567,1.92395559514461e-06,518.038,FALSE,175
"181","RH","classroom","principal_s1","indoor",529,485,749,2.03220196856532,-0.00626067340463704,4.75558532879584e-06,217.788435859895,TRUE,264
"182","RH","classroom","principal_s1","indoor",676,651,776,4.997,-0.00261179026258484,5.25696954815076e-07,427.0564,FALSE,125
"183","RH","classroom","principal_s1","indoor",881,749,1233,4.08404341165304,-0.00171121098458941,9.05980873334154e-07,972.014714362547,TRUE,484
"184","RH","classroom","principal_s1","indoor",1276,776,1601,7.1557,-0.00197799577316081,1.34538159349945e-06,1650.6206,FALSE,825
"185","RH","classroom","principal_s1","indoor",1277,1233,1409,1.691542823742,-0.00685362358769814,7.37854071906108e-07,135.53521663447,TRUE,176
"186","RH","classroom","principal_s1","indoor",1453,1409,1497,1.0051082811395,-0.00507691768944176,3.46807548827927e-07,40.6820524005152,TRUE,88
"187","RH","classroom","principal_s1","indoor",1585,1497,1673,1.07868100835755,-0.00185660468179988,1.91042141129468e-08,88.6728084183172,TRUE,176
