timestamp,timestamp_local,sn,sample_rh,sample_temp,sample_pres,lat,lon,device_state,pm1,pm25,pm10
2023-03-01T21:34:58Z,2023-03-01T16:34:58Z,MOD-PM-00231,52.88,5.71,0.0,42.3161,-71.078,ACTIVE,2.605,3.615,20.732
2023-03-01T21:33:58Z,2023-03-01T16:33:58Z,MOD-PM-00231,52.48,5.73,0.0,42.3161,-71.078,ACTIVE,2.485,3.435,16.31
2023-03-01T21:32:58Z,2023-03-01T16:32:58Z,MOD-PM-00231,52.75,5.75,0.0,42.3161,-71.078,ACTIVE,2.987,4.035,17.382
2023-03-01T21:31:58Z,2023-03-01T16:31:58Z,MOD-PM-00231,52.9,5.77,0.0,42.3161,-71.078,ACTIVE,2.858,3.925,8.604
2023-03-01T21:30:58Z,2023-03-01T16:30:58Z,MOD-PM-00231,52.72,5.79,0.0,42.3161,-71.078,ACTIVE,3.99,5.07,14.919
2023-03-01T21:29:58Z,2023-03-01T16:29:58Z,MOD-PM-00231,52.43,5.82,0.0,42.3161,-71.078,ACTIVE,4.231,5.225,11.144
2023-03-01T21:28:58Z,2023-03-01T16:28:58Z,MOD-PM-00231,52.47,5.85,0.0,42.3161,-71.078,ACTIVE,2.847,3.894,9.538
2023-03-01T21:27:58Z,2023-03-01T16:27:58Z,MOD-PM-00231,51.88,5.88,0.0,42.3161,-71.078,ACTIVE,3.511,4.52,9.557
2023-03-01T21:26:58Z,2023-03-01T16:26:58Z,MOD-PM-00231,52.04,5.91,0.0,42.3161,-71.078,ACTIVE,2.891,4.055,11.265
2023-03-01T21:25:58Z,2023-03-01T16:25:58Z,MOD-PM-00231,51.99,5.94,0.0,42.3161,-71.078,ACTIVE,2.956,3.82,6.928
2023-03-01T21:24:58Z,2023-03-01T16:24:58Z,MOD-PM-00231,51.8,5.97,0.0,42.3161,-71.078,ACTIVE,2.564,3.442,18.206
2023-03-01T21:23:58Z,2023-03-01T16:23:58Z,MOD-PM-00231,51.2,5.99,0.0,42.3161,-71.078,ACTIVE,3.612,4.397,11.961
2023-03-01T21:22:58Z,2023-03-01T16:22:58Z,MOD-PM-00231,51.06,6.03,0.0,42.3161,-71.078,ACTIVE,2.751,3.825,23.8
2023-03-01T21:21:58Z,2023-03-01T16:21:58Z,MOD-PM-00231,50.63,6.06,0.0,42.3161,-71.078,ACTIVE,3.227,3.972,18.849
2023-03-01T21:20:58Z,2023-03-01T16:20:58Z,MOD-PM-00231,49.93,6.1,0.0,42.3161,-71.078,ACTIVE,2.352,3.134,17.711
2023-03-01T21:19:58Z,2023-03-01T16:19:58Z,MOD-PM-00231,49.49,6.13,0.0,42.3161,-71.078,ACTIVE,2.915,3.965,18.485
2023-03-01T21:18:58Z,2023-03-01T16:18:58Z,MOD-PM-00231,49.32,6.17,0.0,42.3161,-71.078,ACTIVE,4.026,4.849,18.439
2023-03-01T21:17:58Z,2023-03-01T16:17:58Z,MOD-PM-00231,50.93,6.2,0.0,42.3161,-71.078,ACTIVE,2.443,3.29,6.561
2023-03-01T21:16:58Z,2023-03-01T16:16:58Z,MOD-PM-00231,50.75,6.24,0.0,42.3161,-71.078,ACTIVE,2.63,3.511,11.561
2023-03-01T21:15:58Z,2023-03-01T16:15:58Z,MOD-PM-00231,51.99,6.26,0.0,42.3161,-71.078,ACTIVE,2.228,3.093,8.354
2023-03-01T21:14:58Z,2023-03-01T16:14:58Z,MOD-PM-00231,51.05,6.3,0.0,42.3161,-71.078,ACTIVE,3.084,3.837,11.774
2023-03-01T21:13:58Z,2023-03-01T16:13:58Z,MOD-PM-00231,50.38,6.33,0.0,42.3161,-71.078,ACTIVE,3.215,4.003,14.449
2023-03-01T21:12:58Z,2023-03-01T16:12:58Z,MOD-PM-00231,50.48,6.37,0.0,42.3161,-71.078,ACTIVE,3.462,4.07,16.377
