"","peak_idx","valley_idx","peak_hgt","k_val","conv_tol","case","participant","particle"
"519",691,724,22.3204,0.0686528931478732,2.82769683648235e-07,"sham","44241","10"
"521",880,934,565.173111111111,0.175763902083618,3.01974593014648e-07,"sham","44241","10"
"531",996,999,36.7689,1.12944988824604,1.09648101226137e-06,"sham","44241","10"
"541",1031,1054,134.0406,0.362950034339219,7.17481774776299e-07,"sham","44241","10"
"551",1265,1270,20.4127,1.89680224606143,1.74267041342585e-06,"sham","44241","10"
"561",1416,1424,22.5388,1.36345277322028,3.25232071589051e-06,"sham","44241","10"
"571",1471,1493,194.0958,0.231807549011982,3.17684968849004e-07,"sham","44241","10"
"581",1561,1581,21.7996,0.558297734705432,1.03231741108294e-06,"sham","44241","10"
"591",1625,1650,153.663,0.294440116140826,6.27361818495495e-07,"sham","44241","10"
"60",1905,1921,28.9547,0.027158267361993,8.04588466186236e-07,"sham","44241","10"
"618",2052,2066,54.681,0.245402016801661,2.29568569000754e-07,"sham","44241","10"
"621",2159,2162,96.1909,2.70770159632082,6.05666019058052e-06,"sham","44241","10"
"631",2273,2290,78.0447,0.865574167084198,4.98368443136798e-07,"sham","44241","10"
"641",2305,2322,554.6623,0.668785353700304,1.64537237485864e-06,"sham","44241","10"
"651",2483,2496,186.1492,0.413525304404947,8.06731502069704e-07,"sham","44241","10"
"661",2626,2670,264.3914,0.203230824241196,1.16408676155621e-06,"sham","44241","10"
